SRC-L2,NN-L1-SRC,CRC-L2,LinearOT-SRC,CircularOT-SRC,CircularOT-1NN,RBF-SVM,GS-SRC-linear,GS-SRC-circular,dataset,rotation,seed
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.85,0.8833333333333333,0.85,0.9166666666666666,0.9,0.8833333333333333,LFW-Face,0,5
0.8333333333333334,0.8333333333333334,0.8166666666666667,0.8,0.8333333333333334,0.8333333333333334,0.7666666666666667,0.9333333333333333,0.85,LFW-Face,0,6
0.9,0.9,0.9166666666666666,0.8166666666666667,0.85,0.8,0.8833333333333333,0.9,0.9,LFW-Face,0,7
0.8333333333333334,0.8166666666666667,0.8,0.7666666666666667,0.8333333333333334,0.8333333333333334,0.9,0.8166666666666667,0.9333333333333333,LFW-Face,0,8
0.8166666666666667,0.8166666666666667,0.8166666666666667,0.7333333333333333,0.8,0.7833333333333333,0.8166666666666667,0.85,0.8833333333333333,LFW-Face,0,9
0.9,0.9,0.9,0.7666666666666667,0.9333333333333333,0.8833333333333333,0.9666666666666667,0.9166666666666666,0.9333333333333333,LFW-Face,0,10
0.85,0.85,0.8166666666666667,0.7666666666666667,0.8666666666666667,0.8,0.8833333333333333,0.95,0.9166666666666666,LFW-Face,0,11
0.9,0.9,0.9166666666666666,0.85,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,LFW-Face,0,12
0.9333333333333333,0.9333333333333333,0.8833333333333333,0.8166666666666667,0.8666666666666667,0.8166666666666667,0.8666666666666667,0.95,0.9666666666666667,LFW-Face,0,13
0.6833333333333333,0.7166666666666667,0.6833333333333333,0.7166666666666667,0.7,0.7166666666666667,0.8333333333333334,0.7833333333333333,0.8333333333333334,LFW-Face,0,14
0.7666666666666667,0.7666666666666667,0.7833333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.8666666666666667,0.8333333333333334,LFW-Face,0,15
0.8666666666666667,0.8333333333333334,0.8666666666666667,0.75,0.8166666666666667,0.7833333333333333,0.8333333333333334,0.7666666666666667,0.9166666666666666,LFW-Face,0,16
0.8833333333333333,0.9,0.9,0.8166666666666667,0.8166666666666667,0.8,0.9,0.9,0.8666666666666667,LFW-Face,0,17
0.7833333333333333,0.7833333333333333,0.8,0.75,0.8,0.7833333333333333,0.8,0.9166666666666666,0.9,LFW-Face,0,18
0.85,0.85,0.85,0.8166666666666667,0.8333333333333334,0.8666666666666667,0.9166666666666666,0.85,0.95,LFW-Face,0,19
0.55,0.55,0.5833333333333334,0.7,0.75,0.7,0.7166666666666667,0.6166666666666667,0.7666666666666667,LFW-Face,10,5
0.7166666666666667,0.75,0.7333333333333333,0.7166666666666667,0.8,0.75,0.8666666666666667,0.8833333333333333,0.9,LFW-Face,10,6
0.6833333333333333,0.6833333333333333,0.7166666666666667,0.7666666666666667,0.7666666666666667,0.6833333333333333,0.9166666666666666,0.9,0.8833333333333333,LFW-Face,10,7
0.7666666666666667,0.7333333333333333,0.6833333333333333,0.7,0.75,0.7333333333333333,0.85,0.6333333333333333,0.7833333333333333,LFW-Face,10,8
0.7166666666666667,0.7166666666666667,0.7333333333333333,0.85,0.8833333333333333,0.7666666666666667,0.9166666666666666,0.8333333333333334,0.8833333333333333,LFW-Face,10,9
0.5666666666666667,0.5666666666666667,0.65,0.65,0.8166666666666667,0.8333333333333334,0.6,0.7166666666666667,0.6666666666666666,LFW-Face,10,10
0.5666666666666667,0.5666666666666667,0.6,0.6666666666666666,0.8166666666666667,0.8166666666666667,0.7333333333333333,0.85,0.85,LFW-Face,10,11
0.8333333333333334,0.8166666666666667,0.7833333333333333,0.7666666666666667,0.9,0.75,0.8833333333333333,0.85,0.9,LFW-Face,10,12
0.7833333333333333,0.8,0.85,0.7833333333333333,0.8833333333333333,0.85,0.95,0.8333333333333334,0.85,LFW-Face,10,13
0.6333333333333333,0.6666666666666666,0.6333333333333333,0.5333333333333333,0.7,0.6333333333333333,0.7166666666666667,0.7333333333333333,0.8333333333333334,LFW-Face,10,14
0.5166666666666667,0.55,0.5833333333333334,0.6,0.6833333333333333,0.7666666666666667,0.9,0.5833333333333334,0.6666666666666666,LFW-Face,10,15
0.8,0.7833333333333333,0.8,0.7166666666666667,0.8333333333333334,0.7666666666666667,0.8833333333333333,0.7,0.9166666666666666,LFW-Face,10,16
0.65,0.6333333333333333,0.65,0.65,0.7,0.7833333333333333,0.8833333333333333,0.6166666666666667,0.5833333333333334,LFW-Face,10,17
0.6833333333333333,0.6833333333333333,0.6333333333333333,0.6166666666666667,0.75,0.7833333333333333,0.8166666666666667,0.9,0.9166666666666666,LFW-Face,10,18
0.7333333333333333,0.7166666666666667,0.7833333333333333,0.7666666666666667,0.7666666666666667,0.8166666666666667,0.9666666666666667,0.8166666666666667,0.9,LFW-Face,10,19
0.6166666666666667,0.6,0.5666666666666667,0.7833333333333333,0.7,0.6833333333333333,0.8,0.6333333333333333,0.7333333333333333,LFW-Face,20,5
0.7166666666666667,0.75,0.75,0.6666666666666666,0.7333333333333333,0.6833333333333333,0.7666666666666667,0.85,0.8333333333333334,LFW-Face,20,6
0.75,0.75,0.7833333333333333,0.75,0.75,0.6333333333333333,0.85,0.85,0.85,LFW-Face,20,7
0.7333333333333333,0.7333333333333333,0.7,0.6833333333333333,0.6833333333333333,0.7,0.9,0.6666666666666666,0.75,LFW-Face,20,8
0.75,0.7333333333333333,0.7333333333333333,0.8,0.8,0.6833333333333333,0.7666666666666667,0.8666666666666667,0.8,LFW-Face,20,9
0.6166666666666667,0.6166666666666667,0.7,0.6666666666666666,0.8166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7833333333333333,LFW-Face,20,10
0.6,0.6166666666666667,0.6833333333333333,0.6666666666666666,0.8,0.75,0.7666666666666667,0.8666666666666667,0.8666666666666667,LFW-Face,20,11
0.8,0.7833333333333333,0.8,0.7833333333333333,0.85,0.75,0.8666666666666667,0.8666666666666667,0.8666666666666667,LFW-Face,20,12
0.75,0.7666666666666667,0.8,0.7166666666666667,0.7833333333333333,0.7,0.8166666666666667,0.8333333333333334,0.8,LFW-Face,20,13
0.6,0.6,0.6,0.5666666666666667,0.6666666666666666,0.6,0.7,0.75,0.75,LFW-Face,20,14
0.6166666666666667,0.6166666666666667,0.65,0.65,0.6333333333333333,0.6333333333333333,0.8,0.7,0.6833333333333333,LFW-Face,20,15
0.8,0.7833333333333333,0.7833333333333333,0.6333333333333333,0.7666666666666667,0.6833333333333333,0.7833333333333333,0.7166666666666667,0.8166666666666667,LFW-Face,20,16
