SRC-L2,NN-L1-SRC,CRC-L2,LinearOT-SRC,CircularOT-SRC,CircularOT-1NN,RBF-SVM,GS-SRC-linear,GS-SRC-circular,GS-effective-atoms,dataset,k,seed
0.4666666666666667,0.4666666666666667,0.45,0.6,0.4666666666666667,0.35,0.5,0.45,0.4,1.0,LFW-Face,1,5
0.6333333333333333,0.6333333333333333,0.6333333333333333,0.7333333333333333,0.7166666666666667,0.75,0.5333333333333333,0.7166666666666667,0.6333333333333333,1.0,LFW-Face,1,6
0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7,0.8,0.8,0.5833333333333334,0.7333333333333333,0.7166666666666667,1.0,LFW-Face,1,7
0.6666666666666666,0.6666666666666666,0.6833333333333333,0.5,0.5333333333333333,0.6666666666666666,0.6166666666666667,0.6,0.8,1.0,LFW-Face,1,8
0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6166666666666667,0.6666666666666666,0.6666666666666666,0.5166666666666667,0.65,0.6,1.0,LFW-Face,1,9
0.5666666666666667,0.5666666666666667,0.55,0.55,0.6166666666666667,0.7,0.5333333333333333,0.5166666666666667,0.8666666666666667,1.0,LFW-Face,1,10
0.8166666666666667,0.8166666666666667,0.8166666666666667,0.8,0.8333333333333334,0.8166666666666667,0.7666666666666667,0.8,0.7666666666666667,1.0,LFW-Face,1,11
0.7666666666666667,0.7666666666666667,0.7833333333333333,0.5166666666666667,0.48333333333333334,0.7,0.6833333333333333,0.7,0.8166666666666667,1.0,LFW-Face,1,12
0.7666666666666667,0.7666666666666667,0.7666666666666667,0.6333333333333333,0.7333333333333333,0.8,0.6666666666666666,0.6666666666666666,0.8166666666666667,1.0,LFW-Face,1,13
0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.5333333333333333,0.5833333333333334,0.5333333333333333,0.5666666666666667,0.65,1.0,LFW-Face,1,14
0.5666666666666667,0.5666666666666667,0.5666666666666667,0.6666666666666666,0.5333333333333333,0.6,0.5666666666666667,0.6666666666666666,0.4,1.0,LFW-Face,1,15
0.6,0.6,0.6,0.8,0.75,0.6666666666666666,0.5833333333333334,0.65,0.7,1.0,LFW-Face,1,16
0.8,0.8,0.8,0.6166666666666667,0.7333333333333333,0.8,0.6833333333333333,0.6833333333333333,0.7666666666666667,1.0,LFW-Face,1,17
0.7166666666666667,0.7166666666666667,0.7166666666666667,0.6666666666666666,0.7333333333333333,0.8,0.65,0.7166666666666667,0.8,1.0,LFW-Face,1,18
0.75,0.75,0.75,0.75,0.7833333333333333,0.85,0.6833333333333333,0.85,0.7833333333333333,1.0,LFW-Face,1,19
0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7166666666666667,0.8166666666666667,0.7666666666666667,0.8666666666666667,0.7333333333333333,0.8166666666666667,1.3145196437835693,LFW-Face,2,5
0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7333333333333333,0.8,0.8,0.6833333333333333,0.7333333333333333,0.8333333333333334,1.5929206609725952,LFW-Face,2,6
0.7666666666666667,0.7666666666666667,0.7833333333333333,0.7,0.7666666666666667,0.7,0.8,0.8,0.85,1.5283617973327637,LFW-Face,2,7
0.75,0.75,0.75,0.6833333333333333,0.7166666666666667,0.7166666666666667,0.85,0.8,0.7833333333333333,1.479668140411377,LFW-Face,2,8
0.7333333333333333,0.7333333333333333,0.7333333333333333,0.65,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.75,0.7833333333333333,1.5774180889129639,LFW-Face,2,9
