dataset,rotation,n,src_mean,taot_mean,delta,t_stat,t_pvalue,wilcoxon_stat,wilcoxon_pvalue
Digits,0,15,0.6753333333333331,0.7600000000000001,0.08466666666666667,7.555089218807783,2.6485132705138883e-06,0.0,0.0006451158437926242
Digits,10,15,0.44599999999999995,0.5573333333333333,0.11133333333333334,9.288021545696298,2.3134054812123673e-07,0.0,6.103515625e-05
Digits,20,15,0.4046666666666667,0.48466666666666663,0.08000000000000002,5.900733246787297,3.863129511797343e-05,1.5,0.0008769952769144709
LFW-Face,0,15,0.8422222222222223,0.898888888888889,0.05666666666666665,4.794646635951012,0.00028542230963307907,2.0,0.0014867196140618646
LFW-Face,10,15,0.6799999999999999,0.82,0.13999999999999999,5.942527411001587,3.593641389577481e-05,3.0,0.0011953120451164644
LFW-Face,20,15,0.6900000000000002,0.7922222222222224,0.10222222222222224,5.431940361934908,8.838262270561546e-05,0.0,0.0006500242387180628
